State,Year,GDP
Michigan,2018,525240800000.00006
Michigan,2019,540237300000.00006
Michigan,2020,530161300000.00006
Michigan,2021,573329400000.0
Michigan,2022,624173200000.0
Michigan,2023,676030800000.0
Michigan,2024,702466900000.0
Minnesota,1997,157345900000.0
Minnesota,1998,167867400000.0
Minnesota,1999,176780400000.0
Minnesota,2000,192389500000.0
Minnesota,2001,196869400000.0
Minnesota,2002,204061100000.0
Minnesota,2003,215975100000.0
Minnesota,2004,231949400000.0
Minnesota,2005,244635400000.0
Minnesota,2006,252357600000.0
Minnesota,2007,261250700000.0
Minnesota,2008,268771500000.0
Minnesota,2009,262628800000.0
Minnesota,2010,274649200000.0
Minnesota,2011,287070800000.0
Minnesota,2012,298641400000.0
Minnesota,2013,311752100000.0
Minnesota,2014,324701500000.0
Minnesota,2015,336762000000.0
Minnesota,2016,345248800000.0
Minnesota,2017,354721900000.0
Minnesota,2018,372439200000.0
Minnesota,2019,384850200000.0
Minnesota,2020,378969400000.0
Minnesota,2021,416141900000.0
Minnesota,2022,457393800000.0
Minnesota,2023,483222000000.0
Minnesota,2024,507687800000.0
Mississippi,1997,58517200000.0
Mississippi,1998,61332300000.0
Mississippi,1999,64276500000.0
Mississippi,2000,66051500000.0
Mississippi,2001,67750200000.0
Mississippi,2002,69704900000.0
Mississippi,2003,74418400000.0
Mississippi,2004,78680100000.0
Mississippi,2005,82991600000.0
Mississippi,2006,87596700000.0
Mississippi,2007,91876500000.0
Mississippi,2008,95179300000.0
Mississippi,2009,92378000000.0
Mississippi,2010,94788300000.0
Mississippi,2011,96799100000.0
Mississippi,2012,100905400000.0
Mississippi,2013,103042600000.0
Mississippi,2014,105219500000.0
Mississippi,2015,106623900000.0
Mississippi,2016,107795400000.0
Mississippi,2017,110281400000.0
Mississippi,2018,113166400000.0
Mississippi,2019,116135700000.0
Mississippi,2020,117441600000.0
Mississippi,2021,130404600000.0
Mississippi,2022,141724200000.0
Mississippi,2023,151511900000.0
Mississippi,2024,158192400000.0
Missouri,1997,163101100000.0
Missouri,1998,170122200000.0
Missouri,1999,178215900000.0
Missouri,2000,187012800000.0
Missouri,2001,190388700000.0
Missouri,2002,197399000000.0
Missouri,2003,206005200000.0
Missouri,2004,216977500000.0
Missouri,2005,227594600000.0
Missouri,2006,235816900000.0
Missouri,2007,244085300000.0
Missouri,2008,256431100000.0
Missouri,2009,254306200000.0
Missouri,2010,262013400000.0
Missouri,2011,263330000000.0
Missouri,2012,272482400000.00003
Missouri,2013,282659700000.0
Missouri,2014,289340700000.0
Missouri,2015,299597700000.0
Missouri,2016,304143300000.0
Missouri,2017,311273800000.0
Missouri,2018,320451600000.0
Missouri,2019,334750200000.0
Missouri,2020,335970800000.0
Missouri,2021,366193100000.0
Missouri,2022,397536900000.0
Missouri,2023,428887300000.0
Missouri,2024,448713700000.0
Montana,1997,19301700000.0
Montana,1998,20414400000.0
Montana,1999,20815100000.0
Montana,2000,21935400000.0
Montana,2001,22798000000.0
Montana,2002,23886000000.0
Montana,2003,25781100000.0
Montana,2004,28138800000.0
Montana,2005,30823700000.0
Montana,2006,33088000000.0
Montana,2007,36116100000.0
Montana,2008,37028000000.0
Montana,2009,35880000000.0
Montana,2010,38080300000.0
Montana,2011,40592300000.0
Montana,2012,42150200000.0
Montana,2013,43584000000.0
Montana,2014,45203800000.0
Montana,2015,46542400000.0
Montana,2016,45859400000.0
Montana,2017,48470500000.0
Montana,2018,51152100000.0
Montana,2019,52715600000.0
Montana,2020,53057300000.0
Montana,2021,60314800000.0
Montana,2022,69087800000.0
Montana,2023,74690300000.0
Montana,2024,78441000000.0
Nebraska,1997,49880000000.0
Nebraska,1998,51849900000.0
Nebraska,1999,53714200000.0
Nebraska,2000,56582700000.0
Nebraska,2001,59634300000.0
Nebraska,2002,61569500000.0
Nebraska,2003,66471700000.0
Nebraska,2004,70445400000.0
Nebraska,2005,74886700000.0
Nebraska,2006,79287500000.0
Nebraska,2007,84291900000.0
Nebraska,2008,86146600000.0
Nebraska,2009,87325500000.0
Nebraska,2010,91940700000.0
Nebraska,2011,100526500000.0
Nebraska,2012,102949700000.0
Nebraska,2013,107247000000.0
Nebraska,2014,112763300000.0
Nebraska,2015,117402300000.0
Nebraska,2016,119389800000.0
Nebraska,2017,123219900000.0
Nebraska,2018,127954400000.0
Nebraska,2019,132848200000.00002
Nebraska,2020,135014500000.0
Nebraska,2021,150952500000.0
Nebraska,2022,167840200000.0
Nebraska,2023,183780900000.0
Nebraska,2024,189242700000.0
Nevada,1997,60255000000.0
Nevada,1998,65332200000.0
Nevada,1999,71825300000.0
Nevada,2000,77181500000.0
Nevada,2001,80968600000.0
Nevada,2002,85541000000.0
Nevada,2003,91365000000.0
Nevada,2004,104132000000.0
Nevada,2005,117165100000.0
Nevada,2006,126613400000.0
Nevada,2007,132045400000.0
Nevada,2008,130570900000.0
Nevada,2009,122471200000.0
Nevada,2010,125149000000.0
Nevada,2011,128638400000.0
Nevada,2012,130238200000.0
Nevada,2013,133592500000.0
Nevada,2014,136918400000.0
Nevada,2015,145786800000.0
Nevada,2016,153318000000.0
Nevada,2017,163199100000.0
Nevada,2018,172547900000.0
Nevada,2019,184611100000.0
Nevada,2020,176178700000.0
Nevada,2021,202091800000.0
Nevada,2022,232437900000.0
Nevada,2023,253443300000.0
Nevada,2024,269010500000.0
New Hampshire,1997,38122500000.0
New Hampshire,1998,40747700000.0
New Hampshire,1999,42292400000.0
New Hampshire,2000,45604900000.0
New Hampshire,2001,47037300000.0
New Hampshire,2002,49109600000.0
New Hampshire,2003,51609700000.0
New Hampshire,2004,54545700000.0
New Hampshire,2005,56914600000.0
New Hampshire,2006,60152700000.0
New Hampshire,2007,61984800000.0
New Hampshire,2008,62095300000.0
New Hampshire,2009,63052200000.0
New Hampshire,2010,65310800000.0
New Hampshire,2011,66557300000.0
New Hampshire,2012,68412000000.0
New Hampshire,2013,70897400000.0
New Hampshire,2014,73455100000.0
New Hampshire,2015,77385800000.0
New Hampshire,2016,79759700000.0
New Hampshire,2017,81179600000.0
New Hampshire,2018,83859400000.0
New Hampshire,2019,87868200000.0
New Hampshire,2020,89041600000.0
New Hampshire,2021,99433300000.0
New Hampshire,2022,106824600000.0
New Hampshire,2023,114427800000.0
New Hampshire,2024,119336600000.0
New Jersey,1997,307140900000.0
New Jersey,1998,318104000000.0
New Jersey,1999,334966400000.0
New Jersey,2000,360530400000.0
New Jersey,2001,372819200000.0
New Jersey,2002,385045600000.0
New Jersey,2003,399996500000.0
New Jersey,2004,415490800000.0
New Jersey,2005,436064400000.0
New Jersey,2006,457681500000.0
New Jersey,2007,474539600000.0
New Jersey,2008,493289400000.0
New Jersey,2009,481452700000.0
New Jersey,2010,491229000000.0
New Jersey,2011,494292800000.0
New Jersey,2012,516098200000.0
New Jersey,2013,534212100000.0
New Jersey,2014,543824100000.0
New Jersey,2015,565807700000.0
New Jersey,2016,578651400000.0
New Jersey,2017,590086700000.0
New Jersey,2018,619340200000.0
