state,year,residual
Massachusetts,2013,2784.718328465766
Massachusetts,2014,2217.8851005041797
Massachusetts,2015,3299.1652956956677
Massachusetts,2016,1787.8088468173228
Massachusetts,2017,2180.519015919621
Massachusetts,2018,2055.454668807157
Massachusetts,2019,2437.012879156682
Massachusetts,2020,2292.108669534995
Massachusetts,2021,3085.5960798938613
Massachusetts,2022,-2793.6547612305003
Massachusetts,2023,-3229.4599976458703
Massachusetts,2024,-2984.24587542667
Michigan,2008,-903.8634153031962
Michigan,2009,-1833.937212839839
Michigan,2010,-1761.8767752332133
Michigan,2011,-1152.8954071899789
Michigan,2012,-1079.5965800417252
Michigan,2013,-1609.0136481961526
Michigan,2014,-1513.8537832095608
Michigan,2015,431.71042584452516
Michigan,2016,610.1746625102896
Michigan,2017,887.3674277309328
Michigan,2018,-122.77716979637626
Michigan,2019,-555.6835594515214
Michigan,2020,1393.1732963768009
Michigan,2021,1137.990435753978
Michigan,2022,-1593.8037115995394
Michigan,2023,-2900.4441743404896
Michigan,2024,-4599.820163522862
Minnesota,2008,3055.16075757191
Minnesota,2009,1055.490668259663
Minnesota,2010,1682.7631388867885
Minnesota,2011,2116.8243031712336
Minnesota,2012,2339.8256656921294
Minnesota,2013,1635.130309875487
Minnesota,2014,1470.5751879066665
Minnesota,2015,2736.4373157617374
Minnesota,2016,2801.6959722852043
Minnesota,2017,3024.107677578155
Minnesota,2018,1355.6455301111127
Minnesota,2019,1761.1101301157905
Minnesota,2020,3245.4102289502043
Minnesota,2021,2884.2021018229716
Minnesota,2022,149.17010993619624
Minnesota,2023,-1712.4902564476797
Minnesota,2024,-2678.018295217553
Mississippi,2008,-888.0519076790879
Mississippi,2009,-37.42307900835294
Mississippi,2010,-1212.243673717734
Mississippi,2011,-1604.3820000363048
Mississippi,2012,-1549.9045851099727
Mississippi,2013,-1884.977110960448
Mississippi,2014,-2066.612483344099
Mississippi,2015,-1514.804249382738
Mississippi,2016,-1684.5257800510662
Mississippi,2017,-1476.7636245843241
Mississippi,2018,-960.1669694698212
Mississippi,2019,-890.5634073034962
Mississippi,2020,1032.5379276057356
Mississippi,2021,1149.6069072892715
Mississippi,2022,-2594.062001171522
Mississippi,2023,-2940.5239669691073
Mississippi,2024,-3318.87350879563
Missouri,2008,3551.6671668390263
Missouri,2009,2062.2958138403046
Missouri,2010,456.6207250055013
Missouri,2011,530.1911144336045
Missouri,2012,679.1655754250169
Missouri,2013,-21.688646196227637
Missouri,2014,-205.7210014219163
Missouri,2015,1001.3592489929288
